Year,Country,GDP_pc,Per_PIB_e
1976,France,6846.407492,4.41178
1976,Italy,4033.088686,3.93106
1976,Portugal,2183.444414,3.07842
1976,Spain,3255.622561,1.90457
1977,France,7513.456978,4.42244
1977,Italy,4603.022069,
1977,Portugal,2270.786059,
1977,Spain,3600.096635,2.08282
1978,France,9248.204248,4.3325
1978,Italy,5609.181658,3.79149
1978,Portugal,2457.376885,2.90019
1978,Spain,4322.402923,2.2368
1979,France,11170.77638,4.26809
1979,Italy,6985.687272,4.17599
1979,Portugal,2753.925027,2.69904
1979,Spain,5722.442077,2.34442
1980,France,12712.90223,4.29399
1980,Italy,8443.253832,
1980,Portugal,3372.265459,3.06712
1980,Spain,6156.090376,
1981,France,11110.55039,4.71512
1981,Italy,7599.437582,
1981,Portugal,3255.34163,3.18543
1981,Spain,5326.22324,
1982,France,10505.62866,4.83583
1982,Italy,7520.436256,
1982,Portugal,3092.215401,3.32877
1982,Spain,5115.44453,
1983,France,10005.50969,4.83522
1983,Italy,7781.734839,4.50128
1983,Portugal,2750.677903,3.23249
1983,Spain,4437.810931,
1984,France,9432.524531,4.84958
1984,Italy,7678.518464,4.78863
1984,Portugal,2541.926856,3.14222
1984,Spain,4447.901833,
1985,France,9775.419927,4.83358
1985,Italy,7919.506544,4.70361
1985,Portugal,2731.155185,3.26217
1985,Spain,4654.913773,
1986,France,13557.45706,4.6892
1986,Italy,11205.74568,4.6686
1986,Portugal,3903.906111,3.04895
1986,Spain,6450.657638,
1987,France,16323.92007,4.60277
1987,Italy,14094.23495,
1987,Portugal,4861.318186,3.15766
1987,Spain,8160.869339,3.1367
1988,France,17695.92844,4.52404
1988,Italy,15592.42408,4.60629
1988,Portugal,5693.953043,3.38719
1988,Spain,9610.90217,3.33737
1989,France,17704.1157,4.43515
1989,Italy,16238.77055,
1989,Portugal,6129.280415,3.4749
1989,Spain,10576.58617,3.56145
1990,France,21794.5336,4.49228
1990,Italy,20653.17439,
1990,Portugal,7959.907603,3.56937
1990,Spain,13652.52532,3.64349
1991,France,21683.12904,4.81744
1991,Italy,21779.28476,
1991,Portugal,9006.008178,4.07093
1991,Spain,14650.6064,3.75254
1992,France,23826.43643,4.71099
1992,Italy,23059.50578,
1992,Portugal,10822.28037,4.33704
1992,Spain,15970.37926,3.84761
1993,France,22391.90979,5.39988
1993,Italy,18589.37655,4.74783
1993,Portugal,9514.823032,4.84047
1993,Spain,13251.62476,4.25645
1994,France,23488.14941,5.5957
1994,Italy,19181.75256,4.44636
1994,Portugal,9936.8371,4.67084
1994,Spain,13347.52867,4.49689
1995,France,26858.96301,5.75908
1995,Italy,20497.56786,4.33136
1995,Portugal,11721.25691,4.61286
1995,Spain,15414.41643,4.44671
1996,France,26823.08781,5.72616
1996,Italy,22927.69489,4.4579
1996,Portugal,12118.15319,5.06512
1996,Spain,16074.65303,4.46852
1997,France,24173.96095,
1997,Italy,21721.32388,
1997,Portugal,11521.27408,
1997,Spain,14719.30005,
1998,France,24901.28264,5.6591
1998,Italy,22212.27575,4.46178
1998,Portugal,12157.66351,
1998,Spain,15368.032,4.30296
1999,France,24616.59109,5.64528
1999,Italy,21890.44299,4.52155
1999,Portugal,12450.37202,5.04535
1999,Spain,15675.54339,4.27052
2000,France,22339.80578,5.51674
2000,Italy,19979.30822,4.29715
2000,Portugal,11515.09612,5.16178
2000,Spain,14611.16765,4.17637
2001,France,22433.81668,5.41703
2001,Italy,20263.66939,4.66701
2001,Portugal,11777.06788,5.33505
2001,Spain,15182.20648,4.11988
2002,France,24196.65892,5.40916
2002,Italy,21967.79824,4.44524
2002,Portugal,12954.49147,5.25589
2002,Spain,16864.03799,4.13603
2003,France,29602.28968,5.72294
2003,Italy,27060.94657,4.55284
2003,Portugal,15857.00611,5.27828
2003,Spain,21349.32657,4.16717
2004,France,33796.52042,5.63702
2004,Italy,30821.66784,4.39518
2004,Portugal,18117.9447,5.04229
2004,Spain,24778.07452,4.14829
2005,France,34832.89909,5.49981
2005,Italy,31583.69239,4.24747
2005,Portugal,18826.14557,5.07074
2005,Spain,26388.18792,4.13003
2006,France,36523.41768,5.44211
2006,Italy,32969.87002,4.53567
2006,Portugal,19831.22665,4.90801
2006,Spain,28391.23499,4.1676
2007,France,41588.07523,5.44519
2007,Italy,37250.46404,4.11661
2007,Portugal,22762.19808,4.92191
2007,Spain,32720.21293,4.23331
2008,France,45400.66125,5.44403
2008,Italy,40304.25902,4.40077
2008,Portugal,24771.29157,4.70212
2008,Spain,35686.51394,4.501
2009,France,41603.89818,5.73848
2009,Italy,36743.42634,4.53406
2009,Portugal,23014.64429,5.56215
2009,Spain,32378.83706,4.86781
2010,France,40666.96438,5.68342
2010,Italy,35662.51629,4.3492
2010,Portugal,22513.66208,5.40289
2010,Spain,30719.78065,4.81924
2011,France,43762.48077,5.51586
2011,Italy,38142.27327,4.14053
2011,Portugal,23193.22022,5.12127
2011,Spain,31857.61655,4.86651